SELECT
    ROUND(psfFlux, -4) AS bucket,
    COUNT(*) AS COUNT
FROM DeepSource
GROUP BY bucket;
+--------+----------+
| bucket | COUNT    |
+--------+----------+
|   NULL |       13 |
|      0 | 14459378 |
|     -0 |    13261 |
|  10000 |    84316 |
|  20000 |    28555 |
|  30000 |    18797 |
|  40000 |    13530 |
|  50000 |     8426 |
|  60000 |     7237 |
|  70000 |     8238 |
|  80000 |     8387 |
|  90000 |     7545 |
| 100000 |     5821 |
| 110000 |     2689 |
| 120000 |     1002 |
| 130000 |      760 |
| 140000 |      773 |
| 150000 |      735 |
| 160000 |      568 |
| 170000 |      316 |
| 180000 |      135 |
| 190000 |       40 |
| 200000 |       19 |
| 210000 |       14 |
| 220000 |       11 |
| 230000 |        6 |
| 240000 |        3 |
| 250000 |        6 |
| 260000 |        2 |
| 270000 |        7 |
| 280000 |        3 |
| 290000 |        2 |
| 320000 |        1 |
| 360000 |        1 |
+--------+----------+
34 rows in set (7.90 sec)

===================================================================
===================================================================
===================================================================

SELECT
  ROUND(flux_psf, -4) AS bucket,
  COUNT(*) AS COUNT
FROM RunDeepForcedSource
GROUP BY bucket;
+-------------+------------+
| bucket      | COUNT      |
+-------------+------------+
|        NULL |  128498054 |
| -1371670000 |          1 |
| -1003410000 |          1 |
|  -457450000 |          1 |
|  -437920000 |          1 |
|  -437170000 |          1 |
|  -344120000 |          1 |
|  -309360000 |          1 |
|  -278060000 |          1 |
|  -276320000 |          1 |
|  -267700000 |          1 |
|  -233590000 |          1 |
|  -220310000 |          1 |
|  -215930000 |          1 |
|  -195290000 |          1 |
|  -157540000 |          1 |
|  -151070000 |          1 |
|  -136220000 |          1 |
|  -131790000 |          1 |
|  -121670000 |          1 |
|  -115370000 |          1 |
|  -115210000 |          1 |
|  -114990000 |          1 |
|   -94180000 |          1 |
|   -93930000 |          1 |
|   -87730000 |          1 |
|   -85870000 |          1 |
|   -85050000 |          1 |
|   -83890000 |          1 |
|   -79370000 |          1 |
|   -79030000 |          1 |
|   -75170000 |          1 |
|   -74610000 |          1 |
|   -74570000 |          1 |
|   -71460000 |          1 |
|   -71000000 |          1 |
|   -69490000 |          1 |
|   -68420000 |          1 |
|   -62890000 |          1 |
|   -59530000 |          1 |
|   -57550000 |          1 |
|   -55950000 |          1 |
|   -55800000 |          1 |
|   -55370000 |          1 |
|   -54830000 |          1 |
|   -54430000 |          1 |
|   -51820000 |          1 |
|   -49830000 |          1 |
|   -49610000 |          1 |
|   -49350000 |          1 |
|   -48410000 |          1 |
|   -47990000 |          1 |
|   -47650000 |          1 |
|   -47140000 |          1 |
|   -46880000 |          1 |
|   -46780000 |          1 |
|   -46740000 |          1 |
|   -46450000 |          1 |
|   -46380000 |          1 |
|   -45600000 |          1 |
|   -45460000 |          1 |
|   -42100000 |          1 |
|   -42020000 |          1 |
|   -40900000 |          1 |
|   -40340000 |          1 |
|   -39980000 |          1 |
|   -39710000 |          1 |
|   -38600000 |          1 |
|   -38040000 |          1 |
|   -37610000 |          1 |
|   -36850000 |          1 |
|   -36350000 |          1 |
|   -35960000 |          1 |
|   -35820000 |          1 |
|   -34980000 |          1 |
|   -34160000 |          1 |
|   -33900000 |          1 |
|   -33700000 |          1 |
|   -33540000 |          1 |
|   -33390000 |          1 |
|   -33010000 |          1 |
|   -31860000 |          1 |
|   -31680000 |          1 |
|   -31290000 |          1 |
|   -31090000 |          1 |
|   -30430000 |          1 |
|   -29580000 |          1 |
|   -29520000 |          1 |
|   -29390000 |          1 |
|   -28660000 |          1 |
|   -28410000 |          1 |
|   -28290000 |          1 |
|   -28170000 |          1 |
|   -28120000 |          1 |
|   -28080000 |          1 |
|   -27370000 |          1 |
|   -27110000 |          1 |
|   -26870000 |          1 |
|   -26230000 |          1 |
|   -25580000 |          1 |
|   -25340000 |          1 |
|   -25190000 |          1 |
|   -25110000 |          1 |
|   -24700000 |          1 |
|   -24570000 |          1 |
|   -24300000 |          1 |
|   -24240000 |          1 |
|   -24230000 |          1 |
|   -23970000 |          1 |
|   -23530000 |          1 |
|   -23230000 |          1 |
|   -23200000 |          1 |
|   -23160000 |          1 |
|   -22780000 |          1 |
|   -22740000 |          1 |
|   -22700000 |          1 |
|   -22660000 |          1 |
|   -22480000 |          1 |
|   -22390000 |          1 |
|   -22350000 |          1 |
|   -21970000 |          1 |
|   -21920000 |          1 |
|   -21810000 |          1 |
|   -21780000 |          1 |
|   -21750000 |          1 |
|   -21050000 |          1 |
|   -21030000 |          1 |
|   -20650000 |          1 |
|   -20480000 |          1 |
|   -20340000 |          1 |
|   -20160000 |          1 |
|   -20110000 |          1 |
|   -20080000 |          1 |
|   -20000000 |          1 |
|   -19970000 |          1 |
|   -19960000 |          1 |
|   -19870000 |          1 |
|   -19860000 |          1 |
|   -19830000 |          1 |
|   -19800000 |          1 |
|   -19650000 |          1 |
|   -19620000 |          1 |
|   -19600000 |          1 |
|   -19490000 |          1 |
|   -19300000 |          1 |
|   -19260000 |          1 |
|   -19240000 |          1 |
|   -18990000 |          1 |
|   -18860000 |          1 |
|   -18780000 |          1 |
|   -18570000 |          1 |
|   -18240000 |          1 |
|   -18220000 |          1 |
|   -18150000 |          1 |
|   -17940000 |          1 |
|   -17910000 |          1 |
|   -17610000 |          2 |
|   -17590000 |          1 |
|   -17530000 |          1 |
|   -17510000 |          1 |
|   -17470000 |          1 |
|   -17260000 |          1 |
|   -17180000 |          1 |
|   -17140000 |          1 |
|   -16870000 |          1 |
|   -16840000 |          2 |
|   -16810000 |          1 |
|   -16750000 |          1 |
|   -16370000 |          1 |
|   -16330000 |          1 |
|   -16310000 |          1 |
|   -16130000 |          1 |
|   -16120000 |          1 |
|   -15970000 |          1 |
|   -15860000 |          1 |
|   -15420000 |          1 |
|   -15380000 |          1 |
|   -15220000 |          1 |
|   -14940000 |          1 |
|   -14930000 |          1 |
|   -14910000 |          1 |
|   -14860000 |          1 |
|   -14810000 |          1 |
|   -14480000 |          1 |
|   -14370000 |          1 |
|   -14350000 |          1 |
|   -14340000 |          2 |
|   -14170000 |          1 |
|   -14110000 |          1 |
|   -13920000 |          1 |
|   -13890000 |          1 |
|   -13820000 |          1 |
|   -13580000 |          1 |
|   -13420000 |          1 |
|   -13410000 |          1 |
|   -13350000 |          2 |
|   -13250000 |          1 |
|   -13160000 |          1 |
|   -13060000 |          1 |
|   -13030000 |          1 |
|   -12950000 |          1 |
|   -12730000 |          2 |
|   -12720000 |          1 |
|   -12690000 |          1 |
|   -12460000 |          1 |
|   -12420000 |          1 |
|   -12300000 |          1 |
|   -12290000 |          1 |
|   -12240000 |          1 |
|   -12140000 |          1 |
|   -11720000 |          1 |
|   -11680000 |          1 |
|   -11670000 |          1 |
|   -11610000 |          1 |
|   -11490000 |          1 |
|   -11250000 |          1 |
|   -11170000 |          1 |
|   -10880000 |          1 |
|   -10840000 |          1 |
|   -10820000 |          1 |
|   -10600000 |          1 |
|   -10470000 |          1 |
|   -10360000 |          1 |
|   -10330000 |          1 |
|   -10240000 |          1 |
|   -10210000 |          1 |
|   -10190000 |          1 |
|   -10140000 |          1 |
|   -10110000 |          1 |
|   -10050000 |          1 |
|   -10040000 |          1 |
|   -10000000 |          1 |
|    -9960000 |          1 |
|    -9890000 |          1 |
|    -9800000 |          1 |
|    -9760000 |          1 |
|    -9720000 |          2 |
|    -9620000 |          1 |
|    -9410000 |          2 |
|    -9360000 |          1 |
|    -9310000 |          2 |
|    -9240000 |          1 |
|    -9170000 |          1 |
|    -9100000 |          1 |
|    -9020000 |          1 |
|    -8940000 |          1 |
|    -8930000 |          1 |
|    -8900000 |          1 |
|    -8860000 |          1 |
|    -8660000 |          1 |
|    -8650000 |          1 |
|    -8620000 |          1 |
|    -8590000 |          1 |
|    -8560000 |          1 |
|    -8530000 |          1 |
|    -8520000 |          1 |
|    -8510000 |          1 |
|    -8450000 |          1 |
|    -8430000 |          1 |
|    -8380000 |          2 |
|    -8370000 |          1 |
|    -8340000 |          1 |
|    -8330000 |          1 |
|    -8320000 |          1 |
|    -8300000 |          1 |
|    -8220000 |          1 |
|    -8200000 |          1 |
|    -8180000 |          1 |
|    -8060000 |          1 |
|    -7990000 |          1 |
|    -7980000 |          1 |
|    -7970000 |          1 |
|    -7960000 |          1 |
|    -7950000 |          1 |
|    -7940000 |          2 |
|    -7920000 |          1 |
|    -7890000 |          1 |
|    -7880000 |          1 |
|    -7860000 |          1 |
|    -7850000 |          2 |
|    -7840000 |          1 |
|    -7830000 |          1 |
|    -7810000 |          1 |
|    -7780000 |          1 |
|    -7740000 |          1 |
|    -7730000 |          1 |
|    -7720000 |          1 |
|    -7710000 |          1 |
|    -7650000 |          1 |
|    -7620000 |          2 |
|    -7600000 |          1 |
|    -7590000 |          2 |
|    -7570000 |          1 |
|    -7550000 |          1 |
|    -7480000 |          1 |
|    -7460000 |          1 |
|    -7440000 |          1 |
|    -7430000 |          1 |
|    -7420000 |          1 |
|    -7400000 |          1 |
|    -7350000 |          1 |
|    -7310000 |          1 |
|    -7300000 |          1 |
|    -7280000 |          1 |
|    -7270000 |          1 |
|    -7170000 |          1 |
|    -7160000 |          1 |
|    -7110000 |          1 |
|    -7070000 |          1 |
|    -7040000 |          3 |
|    -6950000 |          2 |
|    -6870000 |          1 |
|    -6860000 |          1 |
|    -6840000 |          1 |
|    -6830000 |          1 |
|    -6770000 |          1 |
|    -6750000 |          1 |
|    -6680000 |          1 |
|    -6670000 |          2 |
|    -6660000 |          1 |
|    -6640000 |          1 |
|    -6560000 |          2 |
|    -6470000 |          1 |
|    -6410000 |          1 |
|    -6310000 |          1 |
|    -6280000 |          1 |
|    -6270000 |          2 |
|    -6230000 |          1 |
|    -6180000 |          4 |
|    -6170000 |          1 |
|    -6140000 |          2 |
|    -6120000 |          1 |
|    -6090000 |          1 |
|    -6030000 |          3 |
|    -5950000 |          1 |
|    -5930000 |          1 |
|    -5870000 |          3 |
|    -5840000 |          1 |
|    -5780000 |          1 |
|    -5760000 |          1 |
|    -5740000 |          1 |
|    -5720000 |          1 |
|    -5630000 |          1 |
|    -5530000 |          1 |
|    -5510000 |          2 |
|    -5490000 |          1 |
|    -5420000 |          1 |
|    -5410000 |          1 |
|    -5380000 |          1 |
|    -5370000 |          1 |
|    -5350000 |          1 |
|    -5340000 |          1 |
|    -5330000 |          1 |
|    -5320000 |          2 |
|    -5290000 |          1 |
|    -5270000 |          2 |
|    -5210000 |          1 |
|    -5200000 |          2 |
|    -5190000 |          2 |
|    -5170000 |          1 |
|    -5150000 |          1 |
|    -5130000 |          1 |
|    -5110000 |          1 |
|    -5100000 |          2 |
|    -5090000 |          2 |
|    -5040000 |          1 |
|    -5030000 |          2 |
|    -5020000 |          1 |
|    -5000000 |          1 |
|    -4970000 |          1 |
|    -4960000 |          2 |
|    -4920000 |          3 |
|    -4890000 |          1 |
|    -4850000 |          1 |
|    -4840000 |          1 |
|    -4790000 |          1 |
|    -4760000 |          1 |
|    -4750000 |          2 |
|    -4710000 |          1 |
|    -4690000 |          1 |
|    -4670000 |          1 |
|    -4660000 |          1 |
|    -4630000 |          1 |
|    -4620000 |          1 |
|    -4610000 |          1 |
|    -4600000 |          1 |
|    -4580000 |          1 |
|    -4570000 |          1 |
|    -4560000 |          1 |
|    -4540000 |          1 |
|    -4530000 |          1 |
|    -4510000 |          2 |
|    -4490000 |          1 |
|    -4480000 |          1 |
|    -4470000 |          1 |
|    -4460000 |          1 |
|    -4440000 |          1 |
|    -4420000 |          2 |
|    -4410000 |          1 |
|    -4400000 |          2 |
|    -4370000 |          3 |
|    -4360000 |          1 |
|    -4340000 |          1 |
|    -4280000 |          1 |
|    -4260000 |          2 |
|    -4240000 |          1 |
|    -4230000 |          3 |
|    -4220000 |          2 |
|    -4210000 |          1 |
|    -4190000 |          1 |
|    -4170000 |          1 |
|    -4140000 |          1 |
|    -4100000 |          1 |
|    -4090000 |          1 |
|    -4080000 |          2 |
|    -4060000 |          2 |
|    -4050000 |          1 |
|    -4020000 |          3 |
|    -3990000 |          1 |
|    -3980000 |          1 |
|    -3970000 |          2 |
|    -3960000 |          1 |
|    -3950000 |          1 |
|    -3930000 |          1 |
|    -3920000 |          2 |
|    -3910000 |          2 |
|    -3880000 |          2 |
|    -3870000 |          2 |
|    -3860000 |          1 |
|    -3840000 |          1 |
|    -3830000 |          2 |
|    -3820000 |          1 |
|    -3810000 |          1 |
|    -3800000 |          1 |
|    -3780000 |          2 |
|    -3770000 |          4 |
|    -3760000 |          5 |
|    -3730000 |          2 |
|    -3720000 |          4 |
|    -3710000 |          2 |
|    -3680000 |          2 |
|    -3670000 |          1 |
|    -3660000 |          2 |
|    -3640000 |          3 |
|    -3620000 |          3 |
|    -3610000 |          1 |
|    -3600000 |          1 |
|    -3590000 |          3 |
|    -3580000 |          2 |
|    -3570000 |          1 |
|    -3550000 |          3 |
|    -3510000 |          2 |
|    -3490000 |          4 |
|    -3480000 |          2 |
|    -3470000 |          2 |
|    -3460000 |          1 |
|    -3450000 |          1 |
|    -3440000 |          1 |
|    -3420000 |          1 |
|    -3410000 |          1 |
|    -3380000 |          1 |
|    -3370000 |          2 |
|    -3340000 |          2 |
|    -3330000 |          2 |
|    -3310000 |          1 |
|    -3290000 |          1 |
|    -3280000 |          4 |
|    -3270000 |          1 |
|    -3260000 |          1 |
|    -3250000 |          1 |
|    -3240000 |          1 |
|    -3230000 |          2 |
|    -3210000 |          1 |
|    -3190000 |          3 |
|    -3180000 |          1 |
|    -3160000 |          2 |
|    -3140000 |          1 |
|    -3130000 |          2 |
|    -3110000 |          1 |
|    -3100000 |          2 |
|    -3090000 |          3 |
|    -3070000 |          1 |
|    -3050000 |          3 |
|    -3040000 |          2 |
|    -3030000 |          2 |
|    -3020000 |          1 |
|    -3010000 |          1 |
|    -2990000 |          4 |
|    -2980000 |          2 |
|    -2970000 |          1 |
|    -2950000 |          2 |
|    -2940000 |          3 |
|    -2930000 |          2 |
|    -2910000 |          3 |
|    -2900000 |          2 |
|    -2890000 |          1 |
|    -2880000 |          3 |
|    -2870000 |          1 |
|    -2860000 |          1 |
|    -2850000 |          1 |
|    -2840000 |          4 |
|    -2830000 |          2 |
|    -2820000 |          4 |
|    -2800000 |          2 |
|    -2790000 |          2 |
|    -2780000 |          6 |
|    -2760000 |          1 |
|    -2750000 |          3 |
|    -2740000 |          1 |
|    -2730000 |          1 |
|    -2720000 |          4 |
|    -2700000 |          2 |
|    -2690000 |          1 |
|    -2680000 |          1 |
|    -2670000 |          3 |
|    -2660000 |          5 |
|    -2650000 |          4 |
|    -2640000 |          1 |
|    -2630000 |          1 |
|    -2620000 |          3 |
|    -2610000 |          1 |
|    -2590000 |          3 |
|    -2580000 |          1 |
|    -2570000 |          2 |
|    -2560000 |          3 |
|    -2550000 |          1 |
|    -2540000 |          1 |
|    -2530000 |          2 |
|    -2520000 |          2 |
|    -2510000 |          4 |
|    -2500000 |          1 |
|    -2490000 |          1 |
|    -2480000 |          1 |
|    -2470000 |          1 |
